Label,WFT,Sequence,SCL,SDA,
,TS1,repeat 23,1,1,
,TS1,nop,1,1,//Start
,TS1,repeat 2,1,0,
,TS1,nop,0,0,
,TS1,nop,0,S,//SlaveID
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,S,//RW
,TS1,repeat 2,1,S,
,TS1,nop,0,S,
,TS1,nop,0,X,//ACK
,TS1,repeat 2,1,L,
,TS1,nop,0,0,
,TS1,nop,0,A,//Address
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,A,
,TS1,repeat 2,1,A,
,TS1,nop,0,A,
,TS1,nop,0,X,//ACK
,TS1,repeat 2,1,L,
,TS1,nop,0,0,
,TS1,nop,0,D,//Data
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,D,
,TS1,repeat 2,1,D,
,TS1,nop,0,D,
,TS1,nop,0,X,//ACK
,TS1,repeat 2,1,L,
,TS1,nop,0,0,
,TS1,nop,1,0,//Stop
,TS1,repeat 2,1,0,
,TS1,nop,1,1,
,TS1,repeat 238,1,1,
,TS1,stop,1,1,
